,Poem ID,Poem Name,Verse,Vazha,Hewitt,Google,Gemini,Gemini_ru,ChatGPT,ChatGPT_ru,Hewitt - Google,Hewitt - Gemini,Hewitt - Gemini_ru,Hewitt - ChatGPT,Hewitt - ChatGPT_ru
10,2,Bakur,7,– სიმართლით მარტო ეს მეთქმის. მაშ ტყუილი ვთქვა კვეხითა?,"In truth this is all I want to say, Or should I boast while lying, pray?",– That's all I can tell you honestly. So should I tell a lie?,– Only the truth I can speak. Should I lie instead?,"– I can only speak the truth, why should I utter lies?",– Only the truth is what I can say. Should I lie out of pride?,– I can only tell the truth. Should I lie for praise?,,,,,
11,2,Bakur,8,"ვერ შავძელ იმის მხრის ჭერა, ვერ მოვკვდი, – სული მეტკბილა…","I was unable to take his side, I could not give up — so sweet it seemed — my life...","I can't bear to hold the shoulder I couldn't die, my soul was sweet...","I couldn't bear that burden, I couldn't die, my soul clung to life...","I could not bear the burden of his shoulders, I did not die - my soul weakened...","I couldn’t bear his shoulder, I didn’t die – my soul remained sweet…","I couldn't hold his shoulder, I couldn't die, – my soul is bitter...",,,,,
12,2,Bakur,9,ბაკურის ომი და ქცევა ნეტავი თვალით გეხილა!,Bak’ur’s skill in the fight You should have seen with your own eyes!,Bakury's war and conduct I wish I could see you with my own eyes!,If only you had seen with your own eyes Bakuri's battle and fall!,"Oh, if only you had seen with your own eyes the battle and the fall of Bakur!",Bakur’s war and actions I wish you had seen with your own eyes!,If only you had seen Bakur's war and actions with your own eyes!,,,,,
13,2,Bakur,10,"გული მკლავს, ცოცხლად რისთვისა მტერს ჩავუვარდი ხელშია, –","I’m pained at heart; alive, I ask, Why did I fall into the enemy’s grasp?","My heart is killing me, why am I alive? I fell into the hands of the enemy,","My heart aches, why am I alive, Why did I fall into the enemy's hands?","My heart breaks, why am I alive in the hands of the enemy -","It kills my heart, why did I fall into the enemy’s hands alive, –","My heart is torn apart, why did I fall alive into the enemy's hands, –",,,,,
14,2,Bakur,11,ამისგან ეხლა ფიქრები შხამად ამომდის ყელშია.,Because of this my present thoughts Well up inside my throat.,Thoughts from this now It's like poison in my throat.,These thoughts now rise Like poison in my throat.,"From this thought, poison rises to my throat.","From this, my thoughts rise like poison in my throat.","From this, now my thoughts rise as poison to my throat.",,,,,
15,2,Bakur,12,"თავის აღება არ მწადის, ვეღარც გავშლილვარ წელშია.","To lift my head I do not hasten, Nor seem I able my waist to straighten.",I can't help myself I can't even open my mouth anymore.,"I don't want to raise my head, Nor can I straighten my back.","I don't want to raise my head, my back is bent.","I don’t wish to lift my head, nor can I straighten my back.","I don't want to lift my head, and I can't straighten my back.",,,,,
16,2,Bakur,13,"– ხომ არ გაექე, რა ვუყოთ, არ დაგაცალეს სიკვდილი…",At least you didn’t flee — so why cry? They robbed you of the chance to die...,– Don't you know what to do? Death did not empty you...,"– You didn't run, what can we do, Death didn't take you...","– You didn't run, what can you do, they didn't let you die...","– Maybe it wasn’t meant to be, what can we do, they didn’t let you die…","– Don't worry, what can we do, they didn't let you die...",,,,,
17,2,Bakur,14,"ის რისთვის გესირცხვილება, რაიც არ არი სირცხვილი?",Why judge you as a cause for shame That in which there is no blame?,what are you ashamed of What is not a shame?,Why be ashamed of what Is not shameful?,Why be ashamed if there is no shame in it?,Why do you feel ashamed of something that isn’t shameful?,Why are you ashamed of what is not shameful?,,,,,
18,2,Bakur,15,"ჩვენც ვიცით, აგრე გავიგეთ ამბავი კილო-კავადა;","We too know, thus did we discover This news by some talk or other;","We also know, that's how we heard Story Kilo-Kawada;","We know, we heard The news from afar;","We know, the rumor of this grief reached us;","We know too, we heard the story like rumor and wind;","We also know, we heard the tale of kilo-kavada;",,,,,
19,2,Bakur,16,"ერთმაც არ დაგგმო, ღვთის მადლმა, არ მოგიხსენა ავადა.",None censured you — by God’s grace — None talked of you in disgrace.,"Not a single one condemned you, by the grace of God, I didn't mention Avada.","No one blamed you, thank God, No one spoke ill of you.","No one condemned you, thank God, no one remembered you with an evil word.","No one blamed you, thank God, no one mentioned you badly.","No one condemned you, thank God, no one spoke ill of you.",,,,,
20,2,Bakur,17,"გენუკავთ, ომის ამბავი ეხლა გვიამბო თავადა.","We entreat you, the news of the war To tell us now just as you saw.","Genukavt, war story Now he told us himself.","Tell us now, yourself, The story of the battle.","Tell us yourself about the battle, how it all happened.","It’s enough for us, tell us the story of the war now.",Now tell us about the war in detail.,,,,,
21,2,Bakur,18,"– დიდი მოიდა მტრის ჯარი, გარს შემოგვერტყა ღობედა,",A huge enemy-force descended And like a fence all round we were encircled.,"– a large enemy army has come, A fence surrounded us,","– A great enemy army came, Surrounded us like a fence,","– A large enemy army came and surrounded us on all sides,","– A large enemy army came, surrounded us like a fence,","– A large enemy army came, surrounded us with a fence,",,,,,
22,2,Bakur,19,"შვიდ დღეს ვიგერეთ თოფებით, მრავალი კიდეც ვხოცეთა;","For seven days with guns we kept it at bay, And many besides we managed to slay;","We fought with guns for seven days, I killed many;","For seven days we fought them with guns, And killed many of them too;","For seven days we fought back with guns, many of them were killed;","for seven days we fought with guns, we killed many too;","We fought with rifles for seven days, killed many;",,,,,
23,2,Bakur,20,"დიაცნი წამალს გვიწყავდენ, – ქების ღირსნია სწორედა!..",The women were measuring out our powder dry — In truth no praise for them’s too high! —,"The doctor orders us medicine, It is worthy of praise!","The women were making bullets for us, They deserve praise indeed!..",Even our doctor fought - his valor is worthy of praise!..,"The women prepared medicine for us, – they are truly worthy of praise!..","The women prepared medicines for us, – they are truly worthy of praise!..",,,,,
24,2,Bakur,21,"მერვე დღეს ტყვია-წამალი გასწყდა, გათავდა სრულადა","On day eight powder and shot dried up, Completely did they run out.","On the eighth day, bullet-medicine It's finished, it's completely finished","On the eighth day, the bullets Ran out, finished completely,","On the eighth day, gunpowder and bullets ran out, completely exhausted,","On the eighth day, the ammunition ran out, completely finished","On the eighth day, the ammunition ran out, completely depleted",,,,,
25,2,Bakur,22,და ჩვენი შრომაც მაშინვე ჩავთვალეთ დაკარგულადა.,Our labour then and there We deemed to be in despair.,And our work immediately We considered it lost.,And our efforts then We considered lost.,And then we considered our labor lost.,and our efforts we considered lost.,And then we considered our efforts lost.,,,,,
26,2,Bakur,23,"უძილო, მშიერ-მწყურვალნი, – მტერს, რომ ჩვენ მაშინ ვიყვენით!","Without sleep, food or water — How we were then, one day the enemy will ponder! —","sleepless, hungry and thirsty, To the enemy that we were then!","Sleepless, hungry and thirsty, We were then against the enemy!","Sleepless, hungry, thirsty - that's how we were before the enemy!","Sleepless, hungry, and thirsty, – we were to the enemy at that time!","Sleepless, hungry, and thirsty, – we were for the enemy then!",,,,,
27,2,Bakur,24,"ბედმა გვიმუხთლა ტიალმა, გავცუდდით, გავირიყენით.","We were betrayed by cruel fate, Put under pressure, left isolate.","fate struck us We made a mistake, we used it.","Fate turned against us, We were lost, we were scattered.","Fate left us, we weakened, lost our way.","Fate betrayed us, we failed, we were cast out.","Fate deceived us cruelly, we were lost, we were exiled.",,,,,
28,2,Bakur,25,"მოდგა და მოდგა მტრის ჯარი, ციხის მოერტყა ლიბოსა;","Ever forward advanced the enemy-station, Till it quite engulfed the fortress-foundation.","The enemy army came and came, Libosa was hit by the prison;","The enemy army came and came, Surrounded the castle's walls;","Closer and closer came the enemy detachment, surrounded the fortress;","The enemy’s army kept coming, surrounded the fortress;",The enemy army advanced and surrounded the fortress;,,,,,
29,2,Bakur,26,ჰრჩებოდა ჩვენი ქავ-ციხე გულ-ხადარას და დიდოსა.,Finally there remained only our walled castle For Gud-Xadara and Dido tribes to grapple.,Our stone castle remained Gul-Khadara and Dido.,Our fortress remained With Gul-Khadara and Dido.,Our fortress remained only in Gul-Khadaras and Dido.,Our fortress held firm to the brave and the great.,"Our fortress, Kav-tskhe, remained to guard Khadara and Dido.",,,,,
30,2,Bakur,27,"„უნდა ცოლ-შვილით მტერს დავრჩეთ, სირცხვილი კისრით ვზიდოთა!","“Must we be left with women and children to the mercy of the foe, Must we this shame upon our necks bestow?!","""We should stay with the enemy with our wives and children, Shame on the neck!","""We'll be left to the enemy with our wives and children, We'll carry the shame on our necks!","""Are we really going to leave our wives and children to the enemy, take shame on ourselves?","“Should we stay with our wives and children, and bear the shame on our necks?!","""We must remain to the enemy with wives and children, bear the shame on our necks!",,,,,
31,2,Bakur,28,მას მემრე ტანზე აბჯარი როგორღა დავიკიდოთა?!“,Thereafter how could we ever hang again Our armour and weapons about our frame?”,"He was wearing armor on his body How can I hang myself?!""","How can we wear armor After this?""","How can we put on armor after that?!""",How can we put on armor again after this?!”,"How could we wear armor again after that?!""",,,,,
32,2,Bakur,29,"ცეცხლად გადიქცა ბაკური, მარტო ოხვრად და კვნესადა…","Bak’ur turned to flame, From him just sighs and moans there came...","Bakur turned into fire, He was only moaning and groaning...","Bakuri became like fire, Only sighing and moaning...","Bakur became furious, only groans and sobs...","Bakur turned into fire, only sighs and moans…","Bakur turned into fire, only groans and cries...",,,,,
33,2,Bakur,30,"გული ჰქცევია ტალადა, თვალები უჩანს კვესადა.","His heart turned to flint, His eyes took on a steely glint.","The heart turns to Talada, Quesada's eyes are visible.","His heart turned to stone, His eyes seemed like wells.","His heart turned to stone, his eyes went out.","His heart turned to steel, his eyes like flint.","His heart turned into steel, his eyes sparkled.",,,,,
34,2,Bakur,31,"„ვაჰ დედას მტრისას!“ – ესა სთქვა, ხელი გაივლო ხმალზედა:",“A curse upon the mother of the foe!” he swore And across his sword his hand did draw.,"""Wow, mother's enemy!"" - Esa said. He ran his hand over the sword.","""Woe to the enemy's mother!"" - he said, And his hand reached for his sword:","""Woe to the mother of the enemy!"" - he said, and grabbed his sword:","“Woe to the mother of the enemy!” – he said, and put his hand on his sword:","""Mother of the enemy!"" – he said, and took his sword:",,,,,
35,2,Bakur,32,„ისევ მე დაგხოცთ!“ – და ცოლ-შვილს თავები დასჭრა წამზედა.,Then saying: “Now see your fate!” His wife and child did instantly decapitate.,"""I will kill you again!"" - and to his wife and children Heads were cut off.","""I'll kill you again!"" - and he cut off The heads of his wife and children.","""I'll kill you myself!"" - and cut off the heads of his wife and children at the same moment.",“I will kill you myself!” – and he cut off the heads of his wife and children instantly.,"""I will kill you again!"" – and instantly beheaded his wife and children.",,,,,
36,2,Bakur,33,"მტერს მიეგება ციხის კარს, მეც იმას მივყევ კვალზედა.","The enemy he went forth to meet at the castle-gate, I too followed after him in his wake.","The enemy will reach the prison door, I will follow that too.","He went to meet the enemy at the castle gate, And I followed in his footsteps.","He rushed to the gates of the fortress, I followed him.","He met the enemy at the fortress gate, I followed him closely.","He went to the fortress gate, and I followed him.",,,,,
37,2,Bakur,34,"გაუხტა ხმალ-მოღერებით, ფრანგულმა გაიცინაო:","He leapt at them, his sword a-brandishing, And his blade from France a laugh began a-flashing.",leaped with sword-singing The French laughed.,"He jumped out with sword raised, The Frenchman laughed, they say:","He jumped out with a sword, the French laughed:","With his sword raised, he smiled French-style:","With a raised sword, he laughed in a French manner:",,,,,
38,2,Bakur,35,"თორმეტი მოკლა ციხის კარს, ერთურთზე დააწვინაო.","Twelve he slew at the castle-door, One was laid to rest, then on top one more.","twelve killed at the prison door, Lay on one another.","He killed twelve at the castle gate, Laid them one on top of the other.","He killed twelve at the gates, put one on top of the other.","He killed twelve at the fortress gate, laying them one upon another.","He killed twelve at the fortress gate, laying them on each other.",,,,,
39,2,Bakur,36,ვეფხვსა დააცვდა კლანჭები: ბაკურმაც დაიძინაო.,"At length the tiger’s claws were spent, And Bak’ur too to sleep he went.",Claws protected the tiger: Bakur also fell asleep.,The tiger lost its claws: Bakuri fell asleep too.,The tiger was deprived of its claws: and Bakur fell.,The tiger’s claws grew tired: Bakur fell asleep too.,The tiger's claws came out: and Bakur also fell asleep.,,,,,
40,3,Some Day It Will Happen I Shall Die,1,"ერთხელც იქნება, მოვკვდები, მივებარები მიწასა, –","Some say it will happen — I shall die, I shall be consigned to earth,","I will die once I run to the ground,","One day it will happen, I will die, I will be entrusted to the earth, –","One day I too will die, vanish into the earth,","One day, I will die, I will lie down on the ground, –","One day I will die and give myself to the earth, –",,,,,
41,3,Some Day It Will Happen I Shall Die,2,გულსა და გრძნობას შაურევ ცივის სამარის ქვიშასა…,My heart and feelings I shall intermingle With the sands of my cold grave...,Shaurev heart and feeling On the sand of Civis Samar...,I will mix my heart and feelings With the cold sand of the grave...,Mingle my heart and feelings with the cold grave sand...,My heart and feelings will be buried In the cold grave's sand…,My heart and feelings will rest in the cold sand of the grave…,,,,,
42,3,Some Day It Will Happen I Shall Die,3,"ჩემს გულსა დაეხვევიან გაშმაგებულნი ჭიანი,","Frenzied worms Will wrap themselves about my heart,",They will hug my heart crazy worms,"Around my heart will coil Frenzied worms,","Frenzied worms will swirl around my heart,","My heart will be encircled By frenzied worms,","My heart will be devoured by furious worms,",,,,,
43,3,Some Day It Will Happen I Shall Die,4,"ვეღარას მიშველს ქვითინით ჩემი ლამაზი თმიანი,","No longer will my beautiful, lush-haired one Be able to succour me with her sobbing;",No one can help me with a receipt my beautiful hair,"My beautiful hair Will no longer be saved by tears,","The weeping of my beautiful beloved will no longer help me,","Nothing will help me anymore With my beautiful hair,","The tears of my beautiful beloved will not help me,",,,,,
44,3,Some Day It Will Happen I Shall Die,5,ტყუილად აშფოთდებიან ჩემნი წაწალნი იანი.,My friends the violets In vain will be indignant.,"They worry for nothing My friends, Ian.",My swift falcons Will be troubled in vain.,My faithful friends will worry in vain.,My dear ones will be disturbed In vain.,My grieving friends will worry in vain.,,,,,
45,3,Some Day It Will Happen I Shall Die,6,"ამაოდ ჩამოსხდებიან ციდამ ვარსკლავნი ბარადა,",In vain will the stars Descend to earth from the sky.,"They will come down in vain I can fight the cold,","In vain will descend The cold stars in a row,","In vain will the cold stars descend from the sky,","In vain will the stars Come down from the sky and sit,","The stars will descend from the sky in vain,",,,,,
46,3,Some Day It Will Happen I Shall Die,7,"ასტეხს გლოვა-ზარს მდინარე, მაღლით მომხტომი ჩქარადა,","A mourning-siren from the river will burst, Swiftly bounding from on high;","The river sounds a mournful cry, the high jumper was in a hurry,","The river will raise a mournful cry, Jumping high and fast,","The river, rushing swiftly from the heights, will raise a mournful cry,","The river will start tolling With a mourning bell swiftly,","The river will erupt in a mournful chime, leaping from heights,",,,,,
47,3,Some Day It Will Happen I Shall Die,8,"მოსქდება კლდისა ნაპრალი, ჩაიჭედება ჭალადა…",The fissure in the rock will break And embed itself in the gorge...,a crack in the rock The flood will get stuck...,"The rock's crevice will collapse, The meadow will be choked...","The crevice of the rock will collapse, the gorge will be filled...","The rock's crack will widen, The meadows will be trapped…","Cracks will open in the rocks, valleys will fill…",,,,,
48,3,Some Day It Will Happen I Shall Die,9,"ვაჰმე, მათ ვეღარა ვნახავ გადაქცეული მკვდარადა.",Alas! these I shall no longer be able to see Once into a corpse I have turned!,"Wow, I can't see them anymore Turned into a dead man.","Alas, they will no longer see me, Transformed into the dead.","Alas, I will no longer see them, having turned into a corpse.","Alas, I will no longer see them Turned into a dead man.","Alas, I will no longer see them, having turned into a corpse.",,,,,
49,4,I Feel Like Singing And I Shall Sing,1,"მემღერება და ვიმღერი, – გულზე მჭირს სამი იარა:",I feel like singing and I shall sing — Three sores pain my heart:,"Sing to me and I will sing, Three things bother me:","I sing and will sing, Three wounds pain my heart:",I will sing and sing - three wounds afflict my heart:,"I feel like singing and I sing, – I bear three wounds on my heart:","I want to sing and I do sing, – my heart bears three wounds:",,,,,
50,4,I Feel Like Singing And I Shall Sing,2,"წარსულზე ფიქრი მაწუხებს, აწმყოში არა ყრია-რა","Thinking about the past upsets me, In the present there is no meaning,",thinking about the past bothers me Not in the present,"The past's thoughts torment me, The present holds nothing,","The thought of the past torments me, the present holds no joy,","Thoughts of the past trouble me, in the present, there is nothing,","I am troubled by thoughts of the past, there is nothing in the present,",,,,,
51,4,I Feel Like Singing And I Shall Sing,3,და მომავალის ფიქრებიც არავინ გამიმზიანა!,And my thoughts for the future No-one has made them shine!,And the thoughts of the future Nobody hurt me!,And the future's thoughts No one has revealed to me!,And no one has revealed the thoughts of the future to me!,and no one has brightened my thoughts of the future!,And no one has revealed to me thoughts of the future!,,,,,
52,4,I Feel Like Singing And I Shall Sing,4,"ნისლებში გახვეულია, ოდნავა ბჟუტავს ვარსკვლავი,","In mists it is wrapped, Feebly does the star flicker,","shrouded in mists The star twinkles a little,","Shrouded in mist, A star faintly twinkles,","Shrouded in mist, a star dimly glimmers,","Shrouded in mist, a faint star flickers,","A star, veiled in clouds, barely flickers,",,,,,
53,4,I Feel Like Singing And I Shall Sing,5,"ვეღარ ვაშორებ თვალებსა, ერთხელ იმისი მნახავი.",No longer can I tear my eyes from it Once having seen it.,I can't take my eyes off I saw it once.,"I can't take my eyes off it, Having seen it once.","I cannot take my eyes away, having once seen it.","I cannot take my eyes off it, having seen it once.","I cannot take my eyes off it, having seen it once.",,,,,
54,4,I Feel Like Singing And I Shall Sing,6,დაჟინებულის მის ცქერით შევიქენ დასაძრახავი.,By stubborn gazing at it I have been turned into an object of reproach.,With his stubbornness I will have to move.,"With persistent gazing, I became blameworthy.","By gazing at it intently, I have become pitiable.",By persistently gazing at it I have become blameworthy.,"Constantly looking at it, I have become worthy of reproach.",,,,,
55,4,I Feel Like Singing And I Shall Sing,7,"გულში კი წყლული იზრდება, სულსა მიხუთავს, მაღონებს,","And in my heart an ulcer grows, It confines my soul and saps my strength,","And the ulcer grows in the heart, It closes my soul, makes me tired,","A wound grows in my heart, It suffocates my soul, saddens me,","A wound grows in my heart, suffocating and saddening my soul,","The wound in my heart grows, it suffocates and grieves my soul,","And in my heart, a wound grows, it strangles and saddens my soul,",,,,,
56,4,I Feel Like Singing And I Shall Sing,8,"სიკვდილი არა მწადიან, თუმც ტანჯვა სიკვდილს მაგონებს,","I have no desire of death, Though my torment makes me think of that,",they don't let me die Although suffering reminds me of death,"I don't desire death, Though suffering reminds me of it,","I do not desire death, though suffering reminds me of it,","I do not wish for death, though suffering reminds me of it,","I do not want death, although suffering reminds me of death,",,,,,
57,4,I Feel Like Singing And I Shall Sing,9,და ჩემი ყოფნა ასეთი საწყალს ამირანს მაგონებს.,And this existence of mine Reminds me of poor Amiran.,And my presence is like that It reminds me of poor Amiran.,And my existence like this Reminds me of poor Amirani.,And my existence in this state reminds me of poor Amirani.,and my existence in this way reminds me of the wretched Amiran.,And my existence thus resembles that of poor Amir.,,,,,
58,4,I Feel Like Singing And I Shall Sing,10,"ხმალიც გვერდს უძე, გოშიაც ერთგულადა ჰღრღნის რკინასა;","His sword lies at his side, and his dog Faithfully gnaws at his iron chains;","Put the sword aside, gosh too He was faithful to the iron of Hghrhn;","The sword is far away, the wolf Faithfully gnaws at the iron;","The sword lies idle at his side, and rust faithfully gnaws at the iron;","The sword lies at his side, the loyal dog gnaws at the iron;","A sword at his side, a dog gnawing faithfully at the iron;",,,,,
59,4,I Feel Like Singing And I Shall Sing,11,"არც ხმალი მოდის გმირთანა, ვერც თითონ სწვდება იმასა.",Neither does the sword come near this hero Nor can he himself reach over to it.,"Nor does the sword come to the hero, Not everyone can reach it.","The sword doesn't reach the hero, Nor can he reach it.","Neither the sword comes to the hero, nor can he reach it himself.","neither does the sword come to the hero, nor can he reach it himself.","The sword does not reach the hero, nor does he reach it.",,,,,
60,4,I Feel Like Singing And I Shall Sing,12,"გაღრღნილი ჯაჭვიც მთელია, ჰხედავს, მეორე დილასა;","The gnawed-through chain is whole again, He sees it so every morning;","The worn chain is also whole, He sees it, the next morning;","The gnawed chain remains whole, He sees, on the next morning;","The gnawed chain remains whole, he sees, until the next morning;","The gnawed chain remains whole, he sees it the next morning;","The gnawed chain remains intact, he sees this the next morning;",,,,,
61,4,I Feel Like Singing And I Shall Sing,13,სწვავს ტანჯვა-ვაების ცეცხლი პატრონს და იმის ფინასა:,The fire of torment and misery burn Both master and his abode;,The fire of woe burns To the owner and to the financier:,The fire of suffering and sorrow burns The master and his steed:,The fire of torment and sorrow burns the master and his dwelling:,the fire of suffering and misery burns the master and his dog:,The fire of suffering and sorrow burns both the master and his dog:,,,,,
62,4,I Feel Like Singing And I Shall Sing,14,მომავლის სხივი აქარვებს გმირის ოხვრას და გმინვასა.,The ray of what’s to come dissipates The hero’s sighs and groans.,The ray of the future fades away To hate and hate the hero.,The beam of the future soothes The hero's sighs and moans.,The ray of the future soothes the hero's sighs and moans.,the light of the future dispels the hero's sighs and groans.,The light of the future will dispel the hero’s sighs and groans.,,,,,
63,5,Voice From The Grave,1,"ხმალი გალესე, ძმობილო, მტერი გადმოდგა მთაზედა:","Sharpen your sword, little brother, The enemy has taken up position on the mountain;","Draw your sword, brother The enemy came down from the mountain:","Sharpen your sword, my brother, The enemy descends from the mountain:","Sharpen your sword, brother, the enemy is descending from the mountain:","Sharpen your sword, my friend, the enemy has crossed the mountain:","Sharpen your sword, brother, the enemy has approached the mountain:",,,,,
64,5,Voice From The Grave,2,"აგვიოხრებენ ქვეყანას, დაგვეცემიან თავზედა.","They will lay waste our land, They will fall upon us.",They will give us the country They will hit us on the head.,"They will ravage our land, They will fall upon our heads.","They are ravaging our land, they will fall upon us from above.","they will ravage our land, they will fall upon us.","They will devastate our country, attack us.",,,,,
65,5,Voice From The Grave,3,"გალესე, ისე გალესე, პირს იკიდებდეს თმაზედა.","Sharpen it, so sharpen it That it suspend its blade on a hair.","Fuck it, fuck it Let the hair hang over the mouth.","Sharpen it, sharpen it so well, That it cuts through hair.","Sharpen, sharpen it so, that it catches on their hair.","Sharpen it, sharpen it well, so it cuts through hair.","Sharpen, sharpen it so that it cuts even hair.",,,,,
66,5,Voice From The Grave,4,"მადლია, კიდევ ეღირსოს გორდას მტრის სისხლი ფხაზედა!","If grace there be, the short sword will again Be worthy of the enemy’s blood on its edge!",It is a grace to be worth it The blood of Gorda's enemy was spilled!,May it be blessed to taste again The enemy's blood on its blade!,May the blood of the enemy be spilled on the land of Gordy!,It is a blessing if Gorda again feels the enemy's blood on its edge!,"A blessing, if once again the gorge drinks enemy blood!",,,,,
67,5,Voice From The Grave,5,"აგერ მოდიან წყეულნი მწყობრად, უშიშრად გზაზედა.","Here they come, the cursed ones, In ranks, fearless along the road.","The damned are coming He was on the road in an orderly, fearless manner.","Here they come, the cursed ones, In formation, fearless on the road.","Here they come, the cursed ones, in formation, fearlessly along the road.","Here they come, the cursed ones in formation, fearlessly on the road.","Here they come, the cursed ones, marching fearlessly along the road.",,,,,
68,5,Voice From The Grave,6,"საცაა, თოფი იჭექებს, კვამლი შაჯდება კვამლზედა…","Very soon guns will thunder, Smoke will settle on smoke...","Alas, the gun jams Smoke rises on top of smoke...","Soon, the gun will roar, Smoke will settle upon smoke...","The gun thunders, smoke settles on smoke...","Soon, the guns will thunder, smoke will rise upon smoke...","Any moment the gun will thunder, smoke will rise above smoke...",,,,,
